name,matches_played,win_rate,kda
Wraith King,225,60.444443,3.7559566
Medusa,124,58.064514,3.7057056
Outworld Devourer,104,44.230766,2.6780143
Abaddon,104,61.538464,3.365926
Death Prophet,79,53.16456,3.0
Luna,62,56.451614,3.0780911
Sniper,51,43.137257,2.7039106
Slark,47,38.297874,2.7757576
Earthshaker,47,55.31915,2.4227643
Phantom Assassin,42,47.61905,3.0141342
Legion Commander,40,57.5,2.031339
Pugna,34,50.0,2.3063064
Anti-Mage,26,42.307693,2.436709
Tidehunter,26,50.0,3.0514286
Juggernaut,21,42.857143,2.461111
Ogre Magi,21,33.333336,2.3058825
Night Stalker,20,35.0,2.6709678
Tusk,16,50.0,2.319149
Riki,15,53.333336,3.6195652
Winter Wyvern,14,71.42857,2.336842
Dragon Knight,14,42.857143,1.8448275
Tiny,11,36.363636,2.3009708
Lina,11,27.272728,2.1875
Troll Warlord,11,27.272728,1.7439024
Drow Ranger,10,50.0,1.7040817
Sand King,10,50.0,1.8701298
Shadow Fiend,9,55.555557,2.826087
Axe,8,25.0,1.7654321
Faceless Void,8,25.0,1.7333333
Slardar,7,28.57143,1.5230769
Terrorblade,6,66.66667,2.0512822
Mirana,6,33.333336,2.159091
Venomancer,6,50.0,2.6491227
Magnus,6,83.33333,3.9166667
Zeus,6,33.333336,3.6585367
Weaver,6,33.333336,2.9189188
Nyx Assassin,6,33.333336,3.0392158
Lion,5,40.0,1.4642857
Vengeful Spirit,5,20.0,1.5357143
Tinker,5,40.0,4.12
Templar Assassin,5,40.0,1.7142857
Huskar,5,60.000004,2.5714285
Necrophos,4,50.0,2.6285715
Witch Doctor,4,75.0,3.0454545
Shadow Demon,4,25.0,1.8857143
Shadow Shaman,4,50.0,1.8148148
Razor,4,25.0,2.5526316
Chaos Knight,4,75.0,2.3947368
Spirit Breaker,4,50.0,2.0652175
Leshrac,4,25.0,1.468085
Lifestealer,3,33.333336,1.3333334
Bristleback,3,33.333336,2.4210527
Spectre,3,33.333336,3.2857144
Phantom Lancer,3,0.0,1.5294118
Dazzle,3,33.333336,1.4285715
Jakiro,3,66.66667,2.4242425
Nature's Prophet,2,50.0,1.2222222
Silencer,2,0.0,1.5
Gyrocopter,2,0.0,2.4210527
Morphling,2,100.0,2.4666667
Treant Protector,2,50.0,2.4444444
Bloodseeker,2,0.0,1.1578947
Bounty Hunter,2,0.0,2.090909
Enchantress,2,50.0,2.4444444
Lich,2,50.0,3.4666667
Storm Spirit,2,0.0,0.75
Viper,2,0.0,1.3846154
Centaur Warrunner,2,50.0,2.4210527
Broodmother,2,100.0,3.8461537
Sven,2,100.0,3.0588236
Enigma,2,50.0,1.7894737
Ancient Apparition,1,0.0,1.3
Invoker,1,0.0,0.125
Ember Spirit,1,0.0,0.3
Pudge,1,0.0,2.0
Naga Siren,1,0.0,1.375
Alchemist,1,0.0,2.5384614
Brewmaster,1,0.0,1.8333334
Visage,1,0.0,1.4444444
Io,1,100.0,4.5
Meepo,1,0.0,0.5714286
Lycan,1,0.0,2.0
Queen of Pain,1,100.0,9.0
Skywrath Mage,1,100.0,3.0
Omniknight,1,0.0,2.5555556
